ID1,ID2,EdgeType,Score,Annotation
36,37,MS1 annotation,2,[M+K]+ [2M+Na]+ dm/z=299.18058
45,46,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98143
67,104,MS1 annotation,5,[M-H+2Na]+ [2M+H]+ dm/z=85.07864
67,98,MS1 annotation,5,[M+Na]+ [2M+H]+ dm/z=107.0606
97,239,MS1 annotation,5,[M+H]+ [2M-H+2Na]+ dm/z=173.00623
98,239,MS1 annotation,5,[M+H]+ [M+Na]+ dm/z=21.98178
99,235,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98195
104,239,MS1 annotation,5,[M+H]+ [M-H+2Na]+ dm/z=43.96374
129,132,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02653
130,141,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98203
131,132,MS1 annotation,3,[M+H]+ [M-H+2Na]+ dm/z=43.96379
131,134,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98195
132,134,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98184
190,336,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98179
195,210,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98202
200,248,MS1 annotation,6,[M+Na]+ [M+H]+ dm/z=21.98184
214,229,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98194
248,357,MS1 annotation,6,[M+H]+ [M+Na]+ dm/z=21.98187
263,298,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.9819
277,333,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98182
283,302,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98197
289,297,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98188
310,458,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98195
321,322,MS1 annotation,3,[M+NH4]+ [M+H]+ dm/z=17.02654
322,331,MS1 annotation,3,[M+H-H2O]+ [M+NH4]+ dm/z=35.03715
329,338,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98174
350,383,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98223
355,465,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98191
357,498,MS1 annotation,6,[M+Na]+ [M+H]+ dm/z=21.98188
357,390,MS1 annotation,6,[M+K]+ [M+H]+ dm/z=37.956
358,377,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98166
376,480,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98195
394,426,MS1 annotation,3,[M+K]+ [M+H]+ dm/z=37.95587
394,396,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98186
396,426,MS1 annotation,3,[M+K]+ [M+Na]+ dm/z=15.97401
410,417,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98183
413,691,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.9821
456,480,MS1 annotation,3,[M+Na]+ [M+K]+ dm/z=15.97396
462,501,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98178
493,512,MS1 annotation,2,[2M+Na]+ [M+H]+ dm/z=235.09456
495,616,MS1 annotation,5,[M+K]+ [M+H]+ dm/z=37.95573
495,616,MS1 annotation,5,[M+K]+ [2M+2H]+2 dm/z=37.95573
498,619,MS1 annotation,6,[2M+2H]+2 [M+Na]+ dm/z=21.98186
519,549,MS1 annotation,2,[M+H]+ [M-H+2Na]+ dm/z=43.96367
530,552,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98187
545,760,MS1 annotation,2,[2M+Na]+ [M+H]+ dm/z=282.11913
561,700,MS1 annotation,2,[M+H]+ [M+NH4]+ dm/z=17.02671
561,713,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98227
566,574,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98182
572,595,MS1 annotation,3,[M+Na]+ [M+K]+ dm/z=15.97393
572,587,MS1 annotation,3,[M+H]+ [M+K]+ dm/z=37.95513
579,590,MS1 annotation,2,[M+Na]+ [2M+H]+ dm/z=109.1126
587,595,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.9812
616,623,MS1 annotation,5,[2M+H]+ [M+K]+ dm/z=176.17557
616,704,MS1 annotation,5,[M+H]+ [M+K]+ dm/z=37.95568
623,746,MS1 annotation,5,[M+Na]+ [2M+H]+ dm/z=192.14921
627,650,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98191
692,705,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.9821
704,746,MS1 annotation,5,[M+Na]+ [M+H]+ dm/z=21.98204
735,757,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98201
760,785,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98194
788,803,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98205
838,1060,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98195
851,859,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98191
951,955,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98204
952,960,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98217
958,967,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02659
959,997,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98212
967,976,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98188
987,996,MS1 annotation,2,[M+2H]+2 [M+Na]+ dm/z=191.57613
987,996,MS1 annotation,2,[M+H]+ [2M+Na]+ dm/z=191.57613
1007,1052,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.9823
1019,1031,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98188
1025,1033,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98177
1033,1034,MS1 annotation,3,[M+2H]+2 [M+Na]+ dm/z=257.61652
1033,1034,MS1 annotation,2,[M+H]+ [2M+Na]+ dm/z=257.61652
1073,1079,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98205
1089,1162,MS1 annotation,5,[M+H]+ [2M+Na]+ dm/z=238.12757
1102,1204,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98172
1111,1131,MS1 annotation,5,[M+K]+ [2M+H]+ dm/z=178.19133
1111,1157,MS1 annotation,5,[M+Na]+ [2M+H]+ dm/z=194.16521
1131,1157,MS1 annotation,5,[M+Na]+ [M+K]+ dm/z=15.97388
1131,1162,MS1 annotation,5,[M+H]+ [M+K]+ dm/z=37.95583
1136,1172,MS1 annotation,3,[M+Na]+ [2M+H]+ dm/z=256.14403
1157,1162,MS1 annotation,5,[M+H]+ [M+Na]+ dm/z=21.98196
1172,1227,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98232
1205,1299,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98177
1276,1504,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98211
1321,1326,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02659
1321,1326,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02659
1363,1367,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98182
1363,1370,MS1 annotation,3,[M+K]+ [M+H]+ dm/z=37.95581
1367,1370,MS1 annotation,3,[M+K]+ [M+Na]+ dm/z=15.97399
1406,1412,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98192
1409,1412,MS1 annotation,3,[M+Na]+ [M+H-H2O]+ dm/z=39.99255
1423,1497,MS1 annotation,3,[M+Na]+ [2M+H]+ dm/z=210.16017
1431,1439,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98206
1448,1451,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98199
1470,1516,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98208
1478,1526,MS1 annotation,2,[M+Na]+ [2M+H]+ dm/z=166.13313
1482,1485,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98142
1497,1518,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98193
1507,1515,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98235
1520,1525,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98177
1544,1568,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98201
1562,1587,MS1 annotation,3,[M+K]+ [M+H]+ dm/z=37.95567
1562,1566,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98198
1566,1587,MS1 annotation,3,[M+K]+ [M+Na]+ dm/z=15.97369
1576,1787,MS1 annotation,4,[M+H]+ [M+Na]+ dm/z=21.98213
1576,1642,MS1 annotation,4,[M+K]+ [M+Na]+ dm/z=15.97384
1576,1785,MS1 annotation,4,[M+H-H2O]+ [M+Na]+ dm/z=39.9927
1620,1639,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9742
1642,1787,MS1 annotation,4,[M+H]+ [M+K]+ dm/z=37.95597
1646,1647,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98185
1659,1735,MS1 annotation,4,[M+H]+ [2M+Na]+ dm/z=250.12905
1703,1723,MS1 annotation,4,[M+Na]+ [2M+H]+ dm/z=206.16505
1705,1707,MS1 annotation,2,[2M+2H]+2 [M+NH4]+ dm/z=17.02635
1718,1725,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98171
1723,1735,MS1 annotation,4,[M+H]+ [M+Na]+ dm/z=21.98189
1778,1783,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98179
1799,1851,MS1 annotation,5,[M+Na]+ [2M+H]+ dm/z=208.18065
1805,1806,MS1 annotation,5,[2M+Na]+ [M+K]+ dm/z=214.18928
1805,1851,MS1 annotation,5,[M+Na]+ [M+K]+ dm/z=15.97341
1805,1862,MS1 annotation,5,[M+H]+ [M+K]+ dm/z=37.95543
1806,1862,MS1 annotation,5,[M+H]+ [2M+Na]+ dm/z=252.14472
1822,1848,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98178
1831,1843,MS1 annotation,3,[M+H]+ [2M+K]+ dm/z=248.03476
1831,1835,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97371
1835,1843,MS1 annotation,3,[M+H]+ [2M+Na]+ dm/z=232.06105
1851,1862,MS1 annotation,5,[M+H]+ [M+Na]+ dm/z=21.98203
1881,1946,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98177
1902,1958,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98217
1911,1948,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98201
1945,1948,MS1 annotation,3,[2M+H]+ [M+Na]+ dm/z=206.16508
1945,1969,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98194
1963,1970,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98208
2009,2014,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98178
2020,2038,MS1 annotation,5,[M+H]+ [M+Na]+ dm/z=21.98199
2020,2028,MS1 annotation,5,[2M+H]+ [M+Na]+ dm/z=208.18092
2020,2029,MS1 annotation,5,[M+K]+ [M+Na]+ dm/z=15.97348
2025,2038,MS1 annotation,5,[M+H]+ [2M+Na]+ dm/z=252.14489
2025,2029,MS1 annotation,5,[M+K]+ [2M+Na]+ dm/z=214.18942
2028,2029,MS1 annotation,5,[M+K]+ [2M+H]+ dm/z=192.20744
2029,2038,MS1 annotation,5,[M+H]+ [M+K]+ dm/z=37.95547
2050,2060,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98192
2051,2053,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98182
2064,2096,MS1 annotation,3,[M+Na]+ [M+K]+ dm/z=15.97401
2064,2091,MS1 annotation,3,[M+H]+ [M+K]+ dm/z=37.9561
2070,2071,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02659
2091,2096,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98209
2092,2116,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98054
2132,2141,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98194
2139,2169,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.027
2177,2191,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98202
2187,2264,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98211
2206,2237,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98199
2212,2231,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98168
2216,2237,MS1 annotation,2,[2M+NH4]+ [M+H-H2O]+ dm/z=233.1379
2220,2283,MS1 annotation,2,[M+Na]+ [M+H-H2O]+ dm/z=39.99247
2222,2327,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98223
2243,2255,MS1 annotation,2,[M+NH4]+ [2M+H-H2O]+ dm/z=235.12142
2259,2266,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98213
2278,2282,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98177
2278,2302,MS1 annotation,3,[M+2H]+2 [M+Na]+ dm/z=201.11053
2278,2302,MS1 annotation,2,[M+H]+ [2M+Na]+ dm/z=201.11053
2292,2401,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98207
2353,2372,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98214
2393,2428,MS1 annotation,5,[M+Na]+ [M+K]+ dm/z=15.97374
2393,2406,MS1 annotation,5,[2M+Na]+ [M+K]+ dm/z=214.18923
2393,2397,MS1 annotation,5,[2M+H]+ [M+K]+ dm/z=192.20709
2393,2421,MS1 annotation,5,[M+H]+ [M+K]+ dm/z=37.95567
2397,2428,MS1 annotation,5,[M+Na]+ [2M+H]+ dm/z=208.18083
2405,2409,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98186
2406,2421,MS1 annotation,5,[M+H]+ [2M+Na]+ dm/z=252.14491
2411,2419,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98212
2421,2428,MS1 annotation,5,[M+Na]+ [M+H]+ dm/z=21.98193
2474,2492,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98225
2476,2478,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98206
2499,2525,MS1 annotation,4,[M+H]+ [2M+Na]+ dm/z=284.11324
2511,2512,MS1 annotation,4,[M+Na]+ [2M+H]+ dm/z=240.14982
2512,2525,MS1 annotation,4,[M+H]+ [M+Na]+ dm/z=21.98179
2587,2592,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.982
2601,2603,MS1 annotation,5,[2M+Na]+ [M+K]+ dm/z=248.1735
2601,2602,MS1 annotation,5,[2M+H]+ [M+K]+ dm/z=226.19159
2601,2630,MS1 annotation,5,[M+H]+ [M+K]+ dm/z=37.95592
2601,2631,MS1 annotation,5,[M+Na]+ [M+K]+ dm/z=15.9741
2602,2631,MS1 annotation,5,[M+Na]+ [2M+H]+ dm/z=242.16569
2603,2630,MS1 annotation,5,[M+H]+ [2M+Na]+ dm/z=286.12942
2620,2658,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98141
2630,2631,MS1 annotation,5,[M+Na]+ [M+H]+ dm/z=21.98182
2639,2651,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98215
2676,2686,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98203
2691,2695,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98178
2720,2756,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98113
2722,2724,MS1 annotation,2,[2M+Na]+ [M+H]+ dm/z=323.13484
2754,2796,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98187
2767,2784,MS1 annotation,5,[M+K]+ [2M+H]+ dm/z=277.25982
2767,2797,MS1 annotation,5,[M+Na]+ [2M+H]+ dm/z=293.23462
2776,2784,MS1 annotation,5,[M+K]+ [2M+Na]+ dm/z=299.2416
2776,2777,MS1 annotation,5,[M+H]+ [2M+Na]+ dm/z=337.19808
2777,2784,MS1 annotation,5,[M+K]+ [M+H]+ dm/z=37.95648
2777,2797,MS1 annotation,5,[M+Na]+ [M+H]+ dm/z=21.98168
2803,2818,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98205
2831,2865,MS1 annotation,4,[M+Na]+ [2M+H]+ dm/z=272.17573
2845,3002,MS1 annotation,4,[M+H]+ [2M+Na]+ dm/z=316.13982
2853,2866,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98178
2865,3002,MS1 annotation,4,[M+H]+ [M+Na]+ dm/z=21.98199
2875,3013,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98213
2884,2885,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98216
2889,2914,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98202
2919,2922,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98225
2942,2943,MS1 annotation,4,[M+K]+ [2M+H]+ dm/z=226.19168
2942,3247,MS1 annotation,4,[M+Na]+ [2M+H]+ dm/z=242.16553
2943,2962,MS1 annotation,4,[M+H]+ [M+K]+ dm/z=37.95582
2943,3247,MS1 annotation,4,[M+Na]+ [M+K]+ dm/z=15.97386
2957,2958,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98202
2962,3247,MS1 annotation,4,[M+Na]+ [M+H]+ dm/z=21.98196
2967,2978,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98209
2968,2986,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98204
2999,3169,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.9822
3034,3049,MS1 annotation,3,[2M+H]+ [M+Na]+ dm/z=206.1652
3034,3045,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98193
3074,3110,MS1 annotation,5,[M+H]+ [M+Na]+ dm/z=21.98197
3074,3083,MS1 annotation,5,[2M+H]+ [M+Na]+ dm/z=295.21302
3074,3124,MS1 annotation,5,[M+K]+ [M+Na]+ dm/z=15.97428
3077,3110,MS1 annotation,5,[M+H]+ [2M+Na]+ dm/z=339.17683
3077,3124,MS1 annotation,5,[M+K]+ [2M+Na]+ dm/z=301.22057
3083,3124,MS1 annotation,5,[M+K]+ [2M+H]+ dm/z=279.23873
3096,3097,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98178
3096,3097,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98178
3107,3109,MS1 annotation,2,[M+H]+ [M+NH4]+ dm/z=17.02654
3110,3124,MS1 annotation,5,[M+K]+ [M+H]+ dm/z=37.95625
3141,3153,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98144
3141,3201,MS1 annotation,2,[2M+2H]+2 [M+NH4]+ dm/z=17.02661
3150,3160,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98209
3174,3200,MS1 annotation,2,[M+2H]+2 [M+Na]+ dm/z=212.60005
3174,3200,MS1 annotation,2,[M+H]+ [2M+Na]+ dm/z=212.60005
